product_id,sku,product_name,brand,category,price,stock_qty,status,sales_this_month,condition,supplier,warranty_months,weight_kg,warehouse_location,description
16,DEL-MOU-00016,Dell MX Master Mouse Optical High DPI,Dell,Mouse,69,142,In Stock,0,New,Tech Distributors Inc,36,0.12,"Las Vegas, NV",Precision mouse with programmable buttons and ergonomic design. Perfect for professionals and gamers.
17,DEL-DES-00017,Dell OptiPlex Desktop Tower Small Form Factor,Dell,Desktop,3429,148,In Stock,5,Refurbished,Global Electronics Supply,12,5.24,"Boston, MA",All-in-one desktop with sleek design and integrated display. Space-saving solution with great aesthetics.
18,DEL-LAP-00018,"Dell Pavilion Laptop 16"" 17""",Dell,Laptop,2759,18,In Stock,18,New,Global Electronics Supply,36,1.57,"Miami, FL",Lightweight and portable laptop ideal for students and business travelers. Long battery life and excellent build quality.
19,DEL-MON-00019,Dell ProDisplay Monitor FHD IPS,Dell,Monitor,879,34,In Stock,7,New,Tech Distributors Inc,24,5.27,"New York, NY",Professional-grade monitor with accurate color reproduction and ergonomic design. Perfect for creative work and productivity.
20,DEL-MON-00020,Dell P Series Monitor USB-C QHD,Dell,Monitor,529,13,In Stock,15,New,Global Electronics Supply,36,6.03,"New York, NY",Professional-grade monitor with accurate color reproduction and ergonomic design. Perfect for creative work and productivity.
21,DEL-LAP-00021,Dell ZenBook Laptop 1TB SSD i7,Dell,Laptop,2699,2,Low Stock,34,New,Tech Distributors Inc,12,1.72,"Philadelphia, PA",Gaming-ready laptop with dedicated graphics and high refresh rate display. Built for performance enthusiasts.
22,DEL-DOC-00022,Dell Elite Docking Station,Dell,Docking Station,289,100,In Stock,12,Refurbished,Direct Source Electronics,36,0.74,"Miami, FL",High-quality docking station from a trusted brand. Reliable performance and great value.
23,APP-DES-00023,Apple ROG Desktop i5 i7,Apple,Desktop,629,4,Low Stock,40,Refurbished,Tech Distributors Inc,24,9.59,"San Diego, CA",Gaming desktop with high-end graphics card and fast processor. Ready for the latest games.
24,APP-DES-00024,Apple Precision Desktop Small Form Factor i9,Apple,Desktop,1159,124,In Stock,2,New,Direct Source Electronics,36,11,"Phoenix, AZ",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
25,APP-DES-00025,Apple ThinkCentre Desktop i5 1TB SSD,Apple,Desktop,2529,137,In Stock,10,Refurbished,Prime Tech Wholesale,24,10.13,"Chicago, IL",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
26,APP-DES-00026,Apple ThinkCentre Desktop Ryzen 7 512GB SSD,Apple,Desktop,2629,58,In Stock,5,New,Tech Distributors Inc,36,11.9,"Houston, TX",Powerful desktop workstation for demanding applications. Built for reliability and performance.
27,APP-AIR-00027,Apple Ultra AirPods,Apple,AirPods,459,14,In Stock,8,Refurbished,Prime Tech Wholesale,24,1.05,"Los Angeles, CA",High-quality airpods from a trusted brand. Reliable performance and great value.
28,APP-LAP-00028,"Apple ThinkPad Laptop 512GB SSD 14""",Apple,Laptop,2259,150,In Stock,0,New,Global Electronics Supply,36,2.33,"Chicago, IL",Budget-friendly laptop that doesn't compromise on quality. Great for everyday computing and entertainment.
29,APP-DES-00029,Apple iMac Desktop i9 16GB,Apple,Desktop,599,86,In Stock,11,New,Tech Distributors Inc,12,14.96,"San Diego, CA",Powerful desktop workstation for demanding applications. Built for reliability and performance.
30,APP-MOU-00030,Apple Ergonomic Mouse RGB Bluetooth,Apple,Mouse,109,123,In Stock,12,New,Global Electronics Supply,12,0.22,"Atlanta, GA",Wireless mouse with long battery life and smooth tracking. Great for everyday use.
31,APP-DES-00031,Apple OptiPlex Desktop i7 512GB SSD,Apple,Desktop,1769,95,In Stock,13,New,Tech Distributors Inc,12,10.43,"Philadelphia, PA",Gaming desktop with high-end graphics card and fast processor. Ready for the latest games.
32,APP-MOU-00032,Apple Ergonomic Mouse Laser RGB,Apple,Mouse,89,21,In Stock,24,New,Direct Source Electronics,24,0.17,"Las Vegas, NV",Precision mouse with programmable buttons and ergonomic design. Perfect for professionals and gamers.
33,APP-DES-00033,Apple iMac Desktop 32GB i9,Apple,Desktop,3249,15,In Stock,21,New,Tech Distributors Inc,36,10.9,"San Diego, CA",All-in-one desktop with sleek design and integrated display. Space-saving solution with great aesthetics.
34,APP-KEY-00034,Apple K Series Keyboard Wireless Mechanical,Apple,Keyboard,79,68,In Stock,8,New,Global Electronics Supply,12,0.96,"Houston, TX",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
35,APP-LAP-00035,"Apple XPS Laptop Ryzen 5 17""",Apple,Laptop,1019,111,In Stock,4,New,Tech Distributors Inc,36,2.17,"Phoenix, AZ",Budget-friendly laptop that doesn't compromise on quality. Great for everyday computing and entertainment.
36,APP-KEY-00036,Apple Wireless Keyboard Ergonomic USB-C,Apple,Keyboard,39,78,In Stock,12,New,Global Electronics Supply,36,0.73,"Atlanta, GA",Wireless keyboard with long battery life and comfortable typing experience. Perfect for productivity.
37,APP-TAB-00037,"Apple Yoga Tab Tablet 256GB 11""",Apple,Tablet,289,129,In Stock,5,New,Prime Tech Wholesale,36,0.65,"Houston, TX",Premium tablet with keyboard support. Can replace your laptop for many tasks.
38,APP-TAB-00038,"Apple iPad Tablet 12.9"" WiFi",Apple,Tablet,639,12,In Stock,11,New,Global Electronics Supply,24,0.56,"Miami, FL",Professional tablet with stylus support. Great for note-taking and creative work.
39,APP-KEY-00039,Apple K Series Keyboard Membrane RGB,Apple,Keyboard,119,13,In Stock,15,New,Tech Distributors Inc,12,0.91,"Miami, FL",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
40,APP-LAP-00040,Apple Inspiron Laptop M1 1TB SSD,Apple,Laptop,1699,88,In Stock,7,New,Tech Distributors Inc,12,2.39,"Miami, FL","Powerful laptop perfect for professionals and content creators. Features high-performance processor, ample RAM, and fast SSD storage."
41,APP-MOU-00041,Apple MX Master Mouse Ergonomic Optical,Apple,Mouse,99,45,In Stock,14,New,Global Electronics Supply,36,0.3,"San Diego, CA",Gaming mouse with adjustable DPI and customizable RGB lighting. Built for competitive gaming.
42,APP-DES-00042,Apple Pavilion Desktop 16GB 32GB,Apple,Desktop,2619,0,Out of Stock,34,New,Tech Distributors Inc,36,9,"Boston, MA",Gaming desktop with high-end graphics card and fast processor. Ready for the latest games.
43,APP-LAP-00043,"Apple Pro Laptop 16"" 16GB",Apple,Laptop,1869,54,In Stock,7,New,Global Electronics Supply,24,1.51,"Houston, TX",Gaming-ready laptop with dedicated graphics and high refresh rate display. Built for performance enthusiasts.
44,APP-TAB-00044,"Apple Galaxy Tab Tablet 10"" 512GB",Apple,Tablet,419,7,Low Stock,45,New,Global Electronics Supply,24,0.63,"Atlanta, GA",Versatile tablet perfect for work and entertainment. Powerful processor and stunning display.
45,APP-KEY-00045,Apple Pro Keyboard Bluetooth RGB,Apple,Keyboard,39,7,Low Stock,30,New,Global Electronics Supply,12,0.53,"San Antonio, TX",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
46,HP-MON-00046,HP UltraSharp Monitor USB-C 4K,HP,Monitor,789,15,In Stock,6,New,Global Electronics Supply,12,4.58,"Los Angeles, CA",Budget-friendly monitor with reliable performance. Good value for home office or general use.
47,HP-MOU-00047,HP MX Master Mouse Wireless Programmable,HP,Mouse,129,87,In Stock,13,Refurbished,Prime Tech Wholesale,36,0.19,"Denver, CO",Precision mouse with programmable buttons and ergonomic design. Perfect for professionals and gamers.
48,HP-LAP-00048,"HP Elite Laptop 14"" 512GB SSD",HP,Laptop,2879,0,Out of Stock,22,New,Prime Tech Wholesale,36,1.43,"Chicago, IL",Premium ultrabook with stunning display and exceptional performance. Perfect for demanding tasks and multitasking.
49,HP-LAP-00049,"HP Yoga Laptop Ryzen 7 15.6""",HP,Laptop,839,102,In Stock,7,Refurbished,Prime Tech Wholesale,24,2.12,"Boston, MA",Lightweight and portable laptop ideal for students and business travelers. Long battery life and excellent build quality.
50,HP-DES-00050,HP Pavilion Desktop i9 32GB,HP,Desktop,2159,119,In Stock,15,New,Direct Source Electronics,36,14.22,"Denver, CO",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
51,HP-PRI-00051,HP LaserJet Printer Duplex Color,HP,Printer,339,98,In Stock,10,New,Direct Source Electronics,36,1.29,"Las Vegas, NV",Photo printer with exceptional color accuracy. Great for printing memories.
52,HP-MON-00052,HP ProDisplay Monitor IPS 4K,HP,Monitor,1069,14,In Stock,11,New,Direct Source Electronics,24,6.43,"Houston, TX",High-resolution display with vibrant colors and wide viewing angles. Great for both work and entertainment.
53,HP-KEY-00053,HP Wireless Keyboard Bluetooth USB-C,HP,Keyboard,39,12,In Stock,20,Refurbished,Global Electronics Supply,36,0.73,"Chicago, IL",Compact keyboard with quality construction and responsive keys. Space-saving design.
54,HP-MOU-00054,HP Gaming Mouse Laser Ergonomic,HP,Mouse,39,9,Low Stock,22,New,Global Electronics Supply,24,0.23,"Dallas, TX",Gaming mouse with adjustable DPI and customizable RGB lighting. Built for competitive gaming.
55,HP-LAP-00055,"HP Pavilion Laptop 16"" 32GB",HP,Laptop,1539,136,In Stock,0,Refurbished,Tech Distributors Inc,36,1.83,"Miami, FL",Premium ultrabook with stunning display and exceptional performance. Perfect for demanding tasks and multitasking.
56,HP-KEY-00056,HP RGB Keyboard Backlit Mechanical,HP,Keyboard,69,108,In Stock,3,New,Tech Distributors Inc,36,0.9,"Las Vegas, NV",Compact keyboard with quality construction and responsive keys. Space-saving design.
57,HP-MOU-00057,HP Gaming Mouse Wireless Ergonomic,HP,Mouse,49,5,Low Stock,16,New,Tech Distributors Inc,12,0.22,"Boston, MA",Ergonomic mouse designed for comfort during extended use. Reduces hand fatigue.
58,HP-MON-00058,"HP ProDisplay Monitor 165Hz 34""",HP,Monitor,1019,61,In Stock,14,New,Global Electronics Supply,24,5.76,"Chicago, IL",High-resolution display with vibrant colors and wide viewing angles. Great for both work and entertainment.
59,HP-MOU-00059,HP MX Master Mouse Wireless Bluetooth,HP,Mouse,39,6,Low Stock,45,Refurbished,Direct Source Electronics,36,0.2,"Phoenix, AZ",Portable travel mouse with compact design. Fits easily in laptop bag.
60,HP-MOU-00060,HP MX Master Mouse Laser Bluetooth,HP,Mouse,69,91,In Stock,11,Refurbished,Direct Source Electronics,12,0.18,"Phoenix, AZ",Ergonomic mouse designed for comfort during extended use. Reduces hand fatigue.
61,HP-KEY-00061,HP K Series Keyboard Mechanical USB-C,HP,Keyboard,99,135,In Stock,1,New,Tech Distributors Inc,36,0.82,"Los Angeles, CA",Budget-friendly keyboard with reliable performance. Good value for everyday use.
62,HP-LAP-00062,"HP ZenBook Laptop M3 15.6""",HP,Laptop,2059,67,In Stock,2,New,Global Electronics Supply,12,1.21,"Houston, TX",Premium ultrabook with stunning display and exceptional performance. Perfect for demanding tasks and multitasking.
63,HP-KEY-00063,HP RGB Keyboard Bluetooth Membrane,HP,Keyboard,89,4,Low Stock,25,New,Prime Tech Wholesale,36,0.96,"Atlanta, GA",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
64,HP-KEY-00064,HP Mechanical Keyboard Bluetooth USB-C,HP,Keyboard,59,42,In Stock,14,New,Global Electronics Supply,36,0.93,"Houston, TX",Compact keyboard with quality construction and responsive keys. Space-saving design.
65,HP-DES-00065,HP Pavilion Desktop 512GB SSD i5,HP,Desktop,2919,21,In Stock,11,New,Global Electronics Supply,12,6.48,"San Antonio, TX",Powerful desktop workstation for demanding applications. Built for reliability and performance.
66,HP-DES-00066,HP ThinkCentre Desktop 8GB i5,HP,Desktop,1459,8,Low Stock,39,New,Tech Distributors Inc,36,12.44,"Chicago, IL",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
67,HP-PRI-00067,HP OfficeJet Printer Color Monochrome,HP,Printer,689,27,In Stock,6,Refurbished,Direct Source Electronics,36,1.49,"Seattle, WA",Photo printer with exceptional color accuracy. Great for printing memories.
68,HP-MON-00068,HP U Series Monitor 165Hz IPS,HP,Monitor,669,6,Low Stock,41,New,Tech Distributors Inc,36,7.19,"Atlanta, GA",Budget-friendly monitor with reliable performance. Good value for home office or general use.
69,HP-KEY-00069,HP K Series Keyboard RGB Mechanical,HP,Keyboard,89,144,In Stock,7,New,Tech Distributors Inc,24,0.98,"Las Vegas, NV",Wireless keyboard with long battery life and comfortable typing experience. Perfect for productivity.
70,HP-LAP-00070,"HP Pavilion Laptop 15.6"" M2",HP,Laptop,1969,26,In Stock,10,New,Tech Distributors Inc,36,1.94,"Miami, FL",Budget-friendly laptop that doesn't compromise on quality. Great for everyday computing and entertainment.
71,HP-DES-00071,HP ThinkCentre Desktop Small Form Factor i5,HP,Desktop,2339,26,In Stock,23,New,Global Electronics Supply,24,10.75,"Philadelphia, PA",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
72,HP-MON-00072,HP ThinkVision Monitor 4K USB-C,HP,Monitor,1349,146,In Stock,0,New,Direct Source Electronics,12,6.78,"Miami, FL",High-resolution display with vibrant colors and wide viewing angles. Great for both work and entertainment.
73,HP-PRI-00073,HP PIXMA Printer Laser Inkjet,HP,Printer,149,11,In Stock,6,New,Prime Tech Wholesale,36,1.41,"Atlanta, GA",High-speed laser printer for busy offices. Low cost per page and reliable performance.
74,HP-MON-00074,HP U Series Monitor 165Hz 144Hz,HP,Monitor,1109,140,In Stock,3,New,Direct Source Electronics,12,7.72,"Los Angeles, CA",High-resolution display with vibrant colors and wide viewing angles. Great for both work and entertainment.
75,LEN-MON-00075,"Lenovo ThinkVision Monitor 144Hz 24""",Lenovo,Monitor,209,7,Low Stock,37,New,Tech Distributors Inc,12,5.8,"Los Angeles, CA",Budget-friendly monitor with reliable performance. Good value for home office or general use.
76,LEN-TAB-00076,Lenovo Surface Tablet 128GB WiFi,Lenovo,Tablet,1089,90,In Stock,11,Refurbished,Global Electronics Supply,24,0.58,"Miami, FL",Budget-friendly tablet for casual use. Good for kids and everyday entertainment.
77,LEN-TAB-00077,Lenovo Yoga Tab Tablet 128GB WiFi,Lenovo,Tablet,1199,32,In Stock,2,Refurbished,Global Electronics Supply,36,0.64,"Chicago, IL",Versatile tablet perfect for work and entertainment. Powerful processor and stunning display.
78,LEN-DES-00078,Lenovo Precision Desktop 1TB SSD i7,Lenovo,Desktop,1979,17,In Stock,7,New,Prime Tech Wholesale,36,6.19,"San Antonio, TX",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
79,LEN-DES-00079,Lenovo ROG Desktop 16GB Ryzen 5,Lenovo,Desktop,3309,0,Out of Stock,19,New,Global Electronics Supply,36,10.22,"San Antonio, TX",Budget-friendly desktop for everyday tasks. Reliable performance for home or office use.
80,LEN-MOU-00080,Lenovo MX Master Mouse Optical Ergonomic,Lenovo,Mouse,69,12,In Stock,6,New,Global Electronics Supply,36,0.14,"Denver, CO",Gaming mouse with adjustable DPI and customizable RGB lighting. Built for competitive gaming.
81,LEN-LAP-00081,"Lenovo XPS Laptop 15.6"" 16""",Lenovo,Laptop,2859,107,In Stock,13,New,Global Electronics Supply,24,1.24,"Philadelphia, PA","Powerful laptop perfect for professionals and content creators. Features high-performance processor, ample RAM, and fast SSD storage."
82,LEN-TAB-00082,"Lenovo iPad Tablet 256GB 12.9""",Lenovo,Tablet,819,2,Low Stock,33,New,Prime Tech Wholesale,36,0.34,"Denver, CO",Versatile tablet perfect for work and entertainment. Powerful processor and stunning display.
83,LEN-TAB-00083,"Lenovo Yoga Tab Tablet 11"" Cellular",Lenovo,Tablet,989,21,In Stock,17,New,Tech Distributors Inc,24,0.37,"Dallas, TX",Premium tablet with keyboard support. Can replace your laptop for many tasks.
84,LEN-KEY-00084,Lenovo Pro Keyboard Ergonomic Bluetooth,Lenovo,Keyboard,109,28,In Stock,7,New,Tech Distributors Inc,12,1.12,"Chicago, IL",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
85,LEN-MON-00085,"Lenovo P Series Monitor IPS 27""",Lenovo,Monitor,849,0,Out of Stock,27,New,Prime Tech Wholesale,24,3.55,"San Antonio, TX",Professional-grade monitor with accurate color reproduction and ergonomic design. Perfect for creative work and productivity.
86,LEN-TAB-00086,Lenovo iPad Tablet 256GB Cellular,Lenovo,Tablet,1199,40,In Stock,9,New,Prime Tech Wholesale,24,0.67,"Las Vegas, NV",Premium tablet with keyboard support. Can replace your laptop for many tasks.
87,LEN-MOU-00087,Lenovo Pro Mouse RGB High DPI,Lenovo,Mouse,89,92,In Stock,4,New,Tech Distributors Inc,36,0.16,"Chicago, IL",Portable travel mouse with compact design. Fits easily in laptop bag.
88,LEN-KEY-00088,Lenovo Pro Keyboard Mechanical Membrane,Lenovo,Keyboard,99,60,In Stock,0,New,Direct Source Electronics,12,0.88,"Boston, MA",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
89,LEN-MON-00089,"Lenovo ROG Monitor 165Hz 34""",Lenovo,Monitor,989,16,In Stock,24,New,Prime Tech Wholesale,24,4.68,"Chicago, IL",Professional-grade monitor with accurate color reproduction and ergonomic design. Perfect for creative work and productivity.
90,LEN-TAB-00090,Lenovo Galaxy Tab Tablet 512GB Cellular,Lenovo,Tablet,1179,57,In Stock,11,New,Prime Tech Wholesale,12,0.37,"San Diego, CA",Versatile tablet perfect for work and entertainment. Powerful processor and stunning display.
91,LEN-MON-00091,"Lenovo ProDisplay Monitor 27"" 144Hz",Lenovo,Monitor,809,52,In Stock,3,New,Global Electronics Supply,12,6.98,"Boston, MA",Ultra-wide curved monitor for immersive experience. Excellent for multitasking and multimedia.
92,LEN-MOU-00092,Lenovo Pro Mouse Ergonomic Wireless,Lenovo,Mouse,29,20,In Stock,20,New,Global Electronics Supply,12,0.13,"San Antonio, TX",Precision mouse with programmable buttons and ergonomic design. Perfect for professionals and gamers.
93,LEN-KEY-00093,Lenovo RGB Keyboard Backlit RGB,Lenovo,Keyboard,49,12,In Stock,8,New,Global Electronics Supply,24,0.72,"Dallas, TX",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
94,LEN-KEY-00094,Lenovo Mechanical Keyboard Membrane Ergonomic,Lenovo,Keyboard,99,27,In Stock,9,New,Direct Source Electronics,12,0.92,"Atlanta, GA",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
95,LEN-MOU-00095,Lenovo MX Master Mouse Ergonomic RGB,Lenovo,Mouse,99,55,In Stock,1,Refurbished,Global Electronics Supply,12,0.22,"San Antonio, TX",Ergonomic mouse designed for comfort during extended use. Reduces hand fatigue.
96,LEN-KEY-00096,Lenovo Wireless Keyboard RGB Bluetooth,Lenovo,Keyboard,69,77,In Stock,5,Refurbished,Global Electronics Supply,24,0.8,"Denver, CO",Wireless keyboard with long battery life and comfortable typing experience. Perfect for productivity.
97,LEN-TAB-00097,"Lenovo Galaxy Tab Tablet 11"" 128GB",Lenovo,Tablet,1149,33,In Stock,1,New,Prime Tech Wholesale,36,0.55,"Miami, FL",Professional tablet with stylus support. Great for note-taking and creative work.
98,LEN-KEY-00098,Lenovo Mechanical Keyboard Wireless Ergonomic,Lenovo,Keyboard,109,130,In Stock,7,New,Tech Distributors Inc,24,0.64,"San Antonio, TX",Compact keyboard with quality construction and responsive keys. Space-saving design.
99,LEN-LAP-00099,Lenovo Spectre Laptop Ryzen 5 i5,Lenovo,Laptop,639,9,Low Stock,15,New,Direct Source Electronics,36,2.25,"San Antonio, TX",Lightweight and portable laptop ideal for students and business travelers. Long battery life and excellent build quality.
100,LEN-TAB-00100,"Lenovo Surface Tablet 64GB 10""",Lenovo,Tablet,1259,99,In Stock,1,New,Tech Distributors Inc,24,0.68,"Dallas, TX",Versatile tablet perfect for work and entertainment. Powerful processor and stunning display.
101,SAM-TV-00101,Samsung Plus TV,Samsung,TV,2149,88,In Stock,8,New,Direct Source Electronics,24,1.4,"Miami, FL",High-quality tv from a trusted brand. Reliable performance and great value.
102,SAM-SSD-00102,Samsung Crucial SSD 250GB 1TB,Samsung,SSD,149,20,In Stock,9,New,Tech Distributors Inc,36,1.78,"Phoenix, AZ",Portable external SSD for on-the-go storage. Compact and durable design.
103,SAM-TV-00103,Samsung Max TV,Samsung,TV,1229,93,In Stock,12,New,Prime Tech Wholesale,12,1.66,"San Antonio, TX",High-quality tv from a trusted brand. Reliable performance and great value.
104,SAM-SSD-00104,Samsung SanDisk SSD 4TB M.2,Samsung,SSD,409,23,In Stock,10,New,Tech Distributors Inc,24,0.93,"Miami, FL",NVMe SSD with blazing fast read/write speeds. Ideal for demanding applications and large file transfers.
105,SAM-TV-00105,Samsung Mini TV,Samsung,TV,2579,55,In Stock,10,New,Tech Distributors Inc,36,0.68,"Seattle, WA",High-quality tv from a trusted brand. Reliable performance and great value.
106,SAM-TV-00106,Samsung Max TV,Samsung,TV,769,24,In Stock,11,New,Global Electronics Supply,24,1.34,"Los Angeles, CA",High-quality tv from a trusted brand. Reliable performance and great value.
107,SAM-MEM-00107,Samsung Elite Memory 32GB DDR4,Samsung,Memory,259,57,In Stock,4,New,Direct Source Electronics,36,1.7,"Dallas, TX",RGB memory with customizable lighting effects. Performance meets aesthetics.
108,SAM-TV-00108,Samsung Pro TV,Samsung,TV,2719,9,Low Stock,37,New,Prime Tech Wholesale,12,1.64,"Houston, TX",High-quality tv from a trusted brand. Reliable performance and great value.
109,SAM-MEM-00109,Samsung Fury Memory 16GB 3200MHz,Samsung,Memory,199,26,In Stock,14,New,Prime Tech Wholesale,12,0.95,"Philadelphia, PA",Server-grade memory with ECC support. Built for reliability and data integrity.
110,SAM-SSD-00110,Samsung FireCuda SSD 500GB M.2,Samsung,SSD,489,147,In Stock,15,New,Tech Distributors Inc,36,1.59,"Dallas, TX",High-speed SSD for faster boot times and application loading. Significantly improves system performance.
111,SAM-TV-00111,Samsung Plus TV,Samsung,TV,1479,84,In Stock,12,New,Tech Distributors Inc,36,0.87,"Houston, TX",High-quality tv from a trusted brand. Reliable performance and great value.
112,SAM-TV-00112,Samsung Elite TV,Samsung,TV,699,14,In Stock,14,New,Prime Tech Wholesale,12,0.89,"Boston, MA",High-quality tv from a trusted brand. Reliable performance and great value.
113,SAM-MEM-00113,Samsung Vengeance Memory DDR4 16GB,Samsung,Memory,169,6,Low Stock,47,New,Global Electronics Supply,12,1.35,"New York, NY",Budget-friendly RAM for basic system upgrades. Improves multitasking performance.
114,SAM-SSD-00114,Samsung Crucial SSD M.2 SATA,Samsung,SSD,209,20,In Stock,9,Refurbished,Prime Tech Wholesale,24,0.56,"San Antonio, TX",Affordable SSD for budget-conscious upgrades. Good performance at a great price.
115,SAM-TV-00115,Samsung Max TV,Samsung,TV,2129,70,In Stock,5,New,Prime Tech Wholesale,24,0.57,"Boston, MA",High-quality tv from a trusted brand. Reliable performance and great value.
116,SAM-MEM-00116,Samsung Elite Memory 3600MHz 4800MHz,Samsung,Memory,69,51,In Stock,15,New,Global Electronics Supply,12,1.44,"San Antonio, TX",RGB memory with customizable lighting effects. Performance meets aesthetics.
117,SAM-MEM-00117,Samsung Elite Memory 8GB 4800MHz,Samsung,Memory,89,4,Low Stock,25,New,Prime Tech Wholesale,24,1.12,"Dallas, TX",RGB memory with customizable lighting effects. Performance meets aesthetics.
118,SAM-TAB-00118,Samsung Galaxy Tab Tablet 128GB WiFi,Samsung,Tablet,439,40,In Stock,10,Refurbished,Global Electronics Supply,36,0.33,"Miami, FL",Professional tablet with stylus support. Great for note-taking and creative work.
119,SAM-SSD-00119,Samsung WD Blue SSD 2TB 250GB,Samsung,SSD,219,6,Low Stock,20,New,Prime Tech Wholesale,12,1.52,"Las Vegas, NV",Portable external SSD for on-the-go storage. Compact and durable design.
120,SAM-TAB-00120,Samsung iPad Tablet 64GB WiFi,Samsung,Tablet,869,115,In Stock,7,New,Tech Distributors Inc,36,0.48,"Atlanta, GA","Lightweight tablet ideal for reading, browsing, and streaming. Long battery life."
121,SAM-MEM-00121,Samsung Vengeance Memory DDR5 32GB,Samsung,Memory,209,2,Low Stock,23,New,Tech Distributors Inc,24,0.54,"Seattle, WA",Budget-friendly RAM for basic system upgrades. Improves multitasking performance.
